Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
Subject,Title,:,ELECTIVE,I,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
200919025,18.00,16.75,35.00,F,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019001,37.10,34.25,72.00,B,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019002,38.60,39.5,79.00,A,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019003,24.90,26,51.00,D,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019004,27.30,25.5,53.00,D,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019005,31.10,20,52.00,D,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019006,34.75,23.75,59.00,C,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019007,38.00,43,81.00,S,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
201019008,42.75,41,84.00,S,APRIL_MAY_APR,2013,NORMAL,BBA_MM_601,3.0,ELECTIVE I _INTERNATIONAL MARKETING MANAGEMENT_,81.000000,73.000000,65.000000,57.000000,49.000000,41.000000,APRIL_MAY_APR_2013,0,0,0,1,31
