Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120587,20.55,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20110048,12.50,3,16.00,F,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20110302,19.50,9.5,29.00,F,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20110370,18.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
20110350,20.60,05,26.00,F,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011073,15.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201011133,13.10,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012070,8.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012082,18.20,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201012133,16.50,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201013052,12.80,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014041,21.30,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201014049,10.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018026,6.00,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
201018058,11.15,AB,0.00,I,APRIL_MAY_APR,2013,BACK,COA204_COB104_NEW__COB204_COA104_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,81.000000,72.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,0,0,0,0,0
