Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200928068,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
201013004,28.00,08,36.00,F,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
201013035,36.00,20,56.00,E,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
201013085,37.50,27,65.00,C,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110010,38.50,25,64.00,C,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110029,51.80,37,89.00,S,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110046,37.00,19,56.00,E,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110085,43.40,28,72.00,B,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110101,44.20,27,72.00,B,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110104,47.80,35,83.00,S,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110117,49.10,30,80.00,A,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
20110140,0.00,DT,0.00,DT,APRIL_MAY_APR,2013,NORMAL,EE407,1.5,ELECTRICAL MACHINES LABORATORY,83.000000,76.000000,70.000000,63.000000,57.000000,50.000000,APRIL_MAY_APR_2013,0,1,3,0,98
