Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200928013,12.60,15,28.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
201028004,16.40,15.5,32.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
201028018,20.35,16.5,37.00,E,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
201028032,12.85,4.5,18.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110402,14.60,18,33.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110450,10.85,22.5,34.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110456,15.50,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110471,20.75,40,61.00,C,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110479,19.30,31,51.00,D,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110481,27.65,30.5,59.00,C,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110490,7.70,06,14.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110492,22.20,21.75,44.00,D,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110494,24.35,34.5,59.00,C,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110496,18.95,20,39.00,E,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110497,33.30,39,73.00,A,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110499,12.65,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110503,17.45,3.5,21.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110506,39.90,47,87.00,S,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110507,17.70,27.5,46.00,D,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110516,31.25,44.5,76.00,A,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110518,28.55,34,63.00,B,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110521,24.00,42.5,67.00,B,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110522,6.40,AB,0.00,I,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110550,18.30,29.5,48.00,D,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110551,24.30,34.5,59.00,C,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110602,29.50,38.5,68.00,B,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110605,16.40,00,17.00,F,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20110609,29.40,42.5,72.00,A,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
20121821,25.30,30,56.00,C,APRIL_MAY_APR,2013,NORMAL,IE404,4.0,SIGNALS  SYSTEMS & COMMUNICATIONS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2013,3,0,0,0,26
