Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200927502,47.88,32,80.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027501,53.02,37.6,91.00,S,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027502,53.40,36.8,91.00,S,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027503,54.94,36,91.00,S,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027504,51.24,36,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027505,52.56,35.2,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027506,48.82,33.6,83.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201027509,54.42,35.2,90.00,S,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201127002,51.43,36,88.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201127003,50.30,32,83.00,A,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201127006,45.75,32,78.00,B,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
201127007,44.94,30.4,76.00,B,APRIL_MAY_APR,2013,NORMAL,MCSE301,33.0,MAJOR PROJECT,89,80,70,60,50,40,APRIL_MAY_APR_2013,0,0,0,NA,0
