Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201500295,65.40,15,81.00,A,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201500448,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201500450,55.50,16,72.00,C,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600034,46.80,11,58.00,D,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600035,64.60,18,83.00,A,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600036,65.90,19,85.00,A,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600042,66.70,17,84.00,A,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600068,55.90,17,73.00,B,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600094,59.80,18,78.00,B,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
201600120,61.10,17,79.00,B,APRIL_MAY_APR,2018,NORMAL,CE1462,1.5,MATERIAL TESTING LAB II,89.000000,81.000000,73.000000,66.000000,58.000000,50.000000,APRIL_MAY_APR_2018,0,0,2,0,75
