Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201500058,24.40,15,40.00,E,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201500087,11.40,11,23.00,F,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201500258,24.95,35.5,61.00,C,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201500320,11.00,19.5,31.00,F,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201500866,0.00,DT,0.00,DT,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201600008,30.75,34.5,66.00,C,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201600009,21.40,13,35.00,E,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201600014,18.35,25,44.00,E,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201600015,37.80,43,81.00,A,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
201600018,28.95,42.5,72.00,B,APRIL_MAY_APR,2018,NORMAL,CS1421,4.0,JAVA PROGRAMMING _ELECTIVE I_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,APRIL_MAY_APR_2018,4,1,6,0,206
