Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130609,12.45,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140129,20.70,11,32.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140250,17.90,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140291,11.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140348,15.20,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140395,8.00,03,11.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140417,18.00,08,26.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140424,9.25,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140431,11.10,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140444,21.20,6.5,28.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140703,13.00,12.5,26.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201511501,19.35,12.5,32.00,F,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140515,11.10,AB,0.00,I,APRIL_MAY_APR,2018,BACK,CS1606_CS1603,4.0,Computer Networks II _15_ _Computer Network _10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
