Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140200,17.60,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140258,11.10,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140654,12.75,07,20.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20140655,11.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500242,16.40,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500698,16.50,13,30.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201500733,13.00,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600067,13.00,10.5,24.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600420,20.45,17.5,38.00,E,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201600435,9.80,MP,0.00,MP,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700139,19.05,09,29.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700202,19.40,24,44.00,D,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700233,23.85,22,46.00,D,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700383,15.60,15,31.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700434,13.90,20.5,35.00,E,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700501,8.35,AB,0.00,I,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130105,17.50,26,44.00,D,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
20130478,16.55,10.5,28.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
201700147,18.65,02,21.00,F,APRIL_MAY_APR,2018,BACK,EE1109,4.0,ELEMENTS OF ELECTRICAL ENGINEERING _11 12 13 14 15 16 17_,82.000000,72.000000,63.000000,53.000000,44.000000,35.000000,APRIL_MAY_APR_2018,0,0,0,0,0
