Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201721201,37.90,25.75,64.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721202,31.85,33.75,66.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721203,27.80,22.75,51.00,E,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721204,29.30,28,58.00,D,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721205,34.75,37.5,73.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721206,31.80,37.75,70.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721207,36.80,43.75,81.00,S,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721208,40.50,39.5,80.00,A,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721209,31.30,39,71.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721211,36.75,28.75,66.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721212,35.55,39.5,76.00,A,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721213,31.95,42,74.00,A,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721214,39.00,37.5,77.00,A,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721215,37.45,34.5,72.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721216,38.45,31.5,70.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721217,33.10,35.5,69.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721219,35.05,30,66.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721220,35.15,34,70.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721221,30.40,31,62.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721222,36.35,30,67.00,B,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721223,42.65,38,81.00,S,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721224,33.45,31.5,65.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721225,34.25,29.25,64.00,C,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201721226,39.80,37.25,78.00,A,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
201621215,27.35,26,54.00,D,APRIL_MAY_APR,2018,NORMAL,PH2202,4.0,CONDENSED MATTER PHYSICS,81.000000,74.000000,67.000000,59.000000,52.000000,45.000000,APRIL_MAY_APR_2018,0,0,0,0,25
