Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20122406,25.86,9.5,36.00,E,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122433,25.01,14.5,40.00,E,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122450,18.51,9.5,29.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122454,18.61,13,32.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019031,28.31,22.5,51.00,D,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119001,19.31,9.5,29.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119014,14.65,10.5,26.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119023,24.81,14,39.00,E,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119042,16.00,08,24.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119048,21.00,9.5,31.00,F,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
201119052,26.92,12.5,40.00,E,EXTRA,2013,EXTRA,BBA104,4.0,FINANCIAL ACCOUNTING,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
