Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20122406,5.10,AB,0.00,I,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122417,17.20,12.5,30.00,F,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122421,36.90,40.5,78.00,B,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122433,0.00,AB,0.00,I,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122435,14.90,8.5,24.00,F,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122439,20.10,19,40.00,E,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122441,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122443,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122444,13.20,17.5,31.00,F,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122448,15.80,4.5,21.00,F,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122450,11.20,AB,0.00,I,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
20122453,9.10,3.5,13.00,F,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
200819024,23.00,20,43.00,E,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019002,39.40,32.5,72.00,B,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019003,34.50,34,69.00,B,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019011,26.60,23.5,51.00,D,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019013,28.80,31,60.00,C,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019015,21.80,25.5,48.00,D,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019026,22.10,25,48.00,D,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
201019031,23.30,26,50.00,D,EXTRA,2013,EXTRA,BBA201,4.0,BUSINESS MATHEMATICS,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,EXTRA_2013,0,0,0,0,0
