Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110058,24.50,17.75,43.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110164,13.60,AB,0.00,I,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110166,36.25,3.75,40.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110334,19.50,19.75,40.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110337,18.75,13.25,32.00,F,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110344,48.35,42.75,92.00,A,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110392,17.80,22.5,41.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110398,31.05,14.75,46.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110434,34.30,8.5,43.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110444,33.90,15.25,50.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110452,20.48,AB,0.00,I,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110453,38.05,5.5,44.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110514,20.63,13.5,35.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110539,43.80,MP,00.00,MP,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110558,37.20,25,63.00,D,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120004,22.68,9.5,33.00,F,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120021,20.60,23,44.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120065,25.98,10.25,37.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120072,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120092,5.75,AB,0.00,I,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120094,18.80,AB,0.00,I,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120099,17.98,14.5,33.00,F,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120118,22.60,18,41.00,E,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120164,21.90,25.5,48.00,D,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120175,36.03,19.5,56.00,D,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120180,21.03,8.75,30.00,F,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120181,24.50,23.25,48.00,D,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120185,14.60,7.25,22.00,F,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120200,18.85,AB,0.00,I,EXTRA,2013,EXTRA,COB203_COA103,4.0,ENGINEERING PHYSICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
