Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110018,21.80,00,22.00,F,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110599,24.02,2.5,27.00,F,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20111008,20.62,AB,0.00,I,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120036,23.50,02,26.00,F,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120178,25.93,00,26.00,F,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120460,40.00,11.5,52.00,D,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120575,26.50,10.5,37.00,E,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120662,47.90,44,92.00,A,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
20120682,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
200613047,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,COB205_COA105_NEW__COB207_COA107_OLD_,3.0,ENGINEERING GRAPHICS,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,EXTRA_2013,0,0,0,0,0
