Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110233,21.70,32,54.00,D,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110258,22.60,19.5,43.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20110315,17.80,MP,0.00,MP,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121702,23.20,26.75,50.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121703,21.00,22.5,44.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121704,18.80,24.25,44.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121705,25.10,25.75,51.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121714,18.20,20.75,39.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121715,23.50,22,46.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200711072,8.90,AB,0.00,I,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911041,24.70,22,47.00,D,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911043,17.50,18.25,36.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911053,33.90,33.5,68.00,B,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011018,14.40,12.25,27.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011032,19.30,22.75,43.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011051,13.40,8.25,22.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011080,19.40,25,45.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011100,15.20,15.5,31.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011124,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201111503,0.00,DT,0.00,DT,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
20121716,18.70,18.5,38.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200811079,15.70,10.5,27.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911019,19.30,10,30.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011009,18.10,19.5,38.00,E,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011043,18.10,14.5,33.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011121,16.20,6.5,23.00,F,EXTRA,2013,EXTRA,CSE301,4.0,ENGINEERING MATHEMATICS III,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
