Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200911019,18.55,15,34.00,F,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911067,32.30,11.5,44.00,D,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201111508,25.50,19.5,45.00,E,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911041,22.90,24,47.00,D,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
200911105,36.00,14.5,51.00,D,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011017,11.60,AB,0.00,I,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011075,13.80,14,28.00,F,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011080,11.60,25,37.00,E,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011094,14.90,AB,0.00,I,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
201011100,17.20,15.5,33.00,F,EXTRA,2013,EXTRA,CSE305_OLD__IT305,4.0,APPLIED ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,EXTRA_2013,0,0,0,0,0
