Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110061,12.30,40.5,53.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110141,8.70,41,50.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110184,9.85,AB,0.00,I,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110187,15.00,32.5,48.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110348,12.95,AB,0.00,I,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20110370,17.55,40,58.00,C,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120065,11.50,12,24.00,F,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120123,9.10,AB,0.00,I,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120156,10.90,14.5,26.00,F,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120163,14.70,43.5,59.00,C,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120181,7.20,36,44.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120232,21.80,27.5,50.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120256,10.40,36,47.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120326,15.50,27.5,43.00,E,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120535,5.50,AB,0.00,I,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120591,12.60,AB,0.00,I,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
200918002,7.80,02,10.00,F,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
200918055,42.00,39,81.00,A,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201018019,14.00,07,21.00,F,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201318502,18.10,40.5,59.00,C,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201318513,14.00,39,53.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
201318515,13.30,38,52.00,D,EXTRA,2014,EXTRA,CE402,4.0,FLUID MECHANICS II,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,EXTRA_2014,0,0,0,0,0
