Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110514,23.05,20,44.00,E,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
20120251,15.50,13.25,29.00,F,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
200814015,29.70,16.25,46.00,D,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201014032,19.90,26.75,47.00,D,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201014058,34.95,19.5,55.00,C,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201014077,34.45,17,52.00,D,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201014080,17.80,25,43.00,E,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
200911019,18.55,23,42.00,E,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201011075,13.80,19.25,34.00,F,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201011094,39.40,21.5,61.00,C,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201011100,39.65,23.5,64.00,B,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201011116,11.70,25.75,38.00,E,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
201011124,30.80,14.25,46.00,D,EXTRA,2014,EXTRA,CSE305_IT305,4.0,APPLIED ELECTRONICS,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,EXTRA_2014,0,0,0,0,0
