Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200913070,48.00,30,78.00,B,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110010,35.00,32,67.00,C,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110046,45.00,28,73.00,B,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110101,58.00,35,93.00,S,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110104,45.00,28,73.00,B,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110117,40.00,30,70.00,C,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110149,50.00,37,87.00,S,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110160,50.00,27,77.00,B,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110167,45.00,30,75.00,B,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110170,40.00,30,70.00,C,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110171,50.00,37,87.00,S,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110176,40.00,30,70.00,C,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110221,40.00,20,60.00,D,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110278,30.00,29,59.00,D,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110300,40.00,26,66.00,C,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
20110303,55.00,39,94.00,S,EXTRA,2014,NORMAL,EE709,1.5,INDUSTRIAL TRAINING & SEMINAR,86.000000,79.000000,72.000000,64.000000,57.000000,50.000000,EXTRA_2014,1,0,0,0,92
