Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140261,36.60,19.5,57.00,C,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140254,11.00,AB,0.00,I,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140542,19.10,23,43.00,E,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500357,21.30,18,40.00,E,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201518520,18.00,08.5,27.00,F,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618530,10.25,17,28.00,F,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618534,12.75,AB,0.00,I,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500387,13.10,21.5,35.00,E,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201600191,13.70,AB,0.00,I,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201718505,13.90,AB,0.00,I,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201718511,21.90,20,42.00,E,JAN,2019,SUPP,CE1501,4.0,GEOTECHNICAL ENGINEERING I _11 12 13 14 15 16_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
