Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130076,9.05,28,38.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20130177,11.60,23,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20130513,16.00,28.5,45.00,D,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20131002,6.10,29.5,36.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140071,14.20,21.5,36.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140134,9.90,25,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140138,7.45,27.5,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140179,9.30,29,39.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
20140207,11.15,17.5,29.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500013,8.10,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500029,15.10,19,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500133,11.20,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500148,9.10,15.5,25.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500218,15.20,16.5,32.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500225,14.20,20,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201500394,3.75,24,28.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618503,22.20,17.5,40.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618506,9.50,19,29.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618508,9.20,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618509,11.55,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618511,17.35,35,53.00,C,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618516,18.60,32.5,52.00,D,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618518,14.35,20,35.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618522,14.35,5.5,20.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618525,11.80,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618526,15.25,01,17.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618530,7.95,32.5,41.00,E,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618531,14.60,AB,0.00,I,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
201618532,11.35,18,30.00,F,JAN,2019,SUPP,CE1637,4.0,REMOTE SENSING & GIS _ELECTIVE I__12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN-2019,0,0,0,0,0
