Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130335,14.10,09,24.00,F,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140030,13.30,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140556,11.30,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140654,17.90,17,35.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500100,9.10,02,12.00,F,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500208,19.90,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500223,15.00,21,36.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500449,15.60,29.5,46.00,D,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201611506,13.55,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140012,9.15,11,21.00,F,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500254,7.20,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600032,17.00,28,45.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600095,26.10,34,61.00,C,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600106,17.30,21,39.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600128,33.40,19,53.00,D,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600139,21.30,AB,0.00,I,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600255,17.30,17,35.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600329,15.00,10.5,26.00,F,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600436,18.30,20.5,39.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600451,15.60,24.5,41.00,E,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600493,29.90,32,62.00,C,JAN,2019,SUPP,CS1532_CS1740_CSE704_,4.0,ADVANCED JAVA PROGRAMMING _ELECTIVE II_ _CS1740 UPTO 2013 BATCH_,88.000000,77.000000,67.000000,56.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
