Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140703,19.10,18.5,38.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20130305,6.20,4.5,11.00,F,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20130335,16.70,17.5,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140515,2.70,AB,0.00,I,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500061,17.60,16.5,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500223,16.10,18,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500739,9.80,16,26.00,F,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201611502,17.00,17.5,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201611506,12.50,10,23.00,F,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
20140012,7.50,AB,0.00,I,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201500254,7.20,AB,0.00,I,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600044,20.20,14,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600161,20.20,14.5,35.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600170,21.90,16.5,39.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600306,30.10,27,58.00,C,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600436,26.10,10.5,37.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600451,19.70,22,42.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600489,11.70,AB,0.00,I,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600510,26.60,AB,0.00,I,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600657,13.80,22.5,37.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
201600660,19.70,21,41.00,E,JAN,2019,SUPP,MA1501,4.0,STOCHASTIC PROCESSES AND NUMERICAL METHODS _15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JAN-2019,0,0,0,0,0
