Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200916032,18.00,AB,0.00,I,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201316011,20.85,AB,0.00,I,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201316023,21.30,1.5,23.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416004,10.10,AB,0.00,I,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416010,11.70,18.5,31.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416012,9.30,6,16.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416013,11.70,18.5,31.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416015,9.90,10,20.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416020,17.90,28.5,47.00,D,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
201416022,10.60,13.5,25.00,F,JANUARY_JAN,2015,MAKE,CA1105_CA3105,4.0,FUNDAMENTAL OF DIGITAL ELECTRONICS,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
