Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110184,17.95,2,20.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110337,12.50,AB,0.00,I,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110348,19.35,MP,00.00,MP,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110354,10.00,AB,0.00,I,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110396,19.30,10,30.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110402,17.60,8,26.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110421,15.80,AB,0.00,I,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110490,19.15,00,20.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110541,12.25,10,23.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110594,18.40,11,30.00,F,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20111003,18.20,22,41.00,E,JANUARY_JAN,2015,MAKE,COB105_COA205,4.0,COMPUTER PROGRAMMING,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
