Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110266,13.20,8.5,22.00,F,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110279,18.40,16.5,35.00,E,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110503,25.40,0.5,26.00,F,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20110515,20.05,10,31.00,F,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120033,14.50,AB,0.00,I,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120088,13.70,28,42.00,E,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120094,13.80,16.5,31.00,F,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120099,12.30,AB,0.00,I,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120103,15.90,12.5,29.00,F,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120104,16.80,18,35.00,E,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120149,16.50,AB,0.00,I,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
20120159,20.90,AB,0.00,I,JANUARY_JAN,2015,MAKE,MA1303_EC301_EE301_ME301_IE301_,4.0,ENGINEERING MATHEMATICS III,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JANUARY_JAN_2015,0,0,0,0,0
