Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130437,15.10,AB,0.00,I,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140093,20.80,18,39.00,E,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140361,18.30,3,22.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140494,11.85,AB,0.00,I,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140495,15.55,AB,0.00,I,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130335,17.80,4,22.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130556,9.80,4.5,15.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201500061,31.45,16.5,48.00,D,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201500254,19.90,5.5,26.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201500733,12.00,24.5,37.00,E,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600044,16.25,5.5,22.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600435,12.30,AB,0.00,I,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600471,15.40,1.5,17.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600520,16.25,11.5,28.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201711501,14.05,15.5,30.00,F,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140384,6.85,AB,0.00,I,JANUARY_JAN,2018,SUPP,CS1303,4.0,PROGRAMMING WITH C++ _11 12 13 14 15 16_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
