Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120032,9.60,17,27.00,F,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140463,17.50,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140465,17.60,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201500144,14.80,10,25.00,F,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201500261,17.50,17,35.00,E,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201615502,13.20,AB,0.00,I,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201615503,20.30,14,35.00,E,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600698,23.40,10.5,34.00,F,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140602,19.80,15,35.00,E,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20140608,32.50,19,52.00,D,JANUARY_JAN,2018,SUPP,MA1305,4.0,ENGINEERING MATHEMATICS III _15 16__ME2015 BATCH ONWARDS_,86.000000,76.000000,66.000000,55.000000,45.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
