Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120360,20.10,17,38.00,E,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20121101,23.80,16,40.00,E,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
20130003,5.00,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201600615,21.33,24,46.00,D,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700004,21.17,11,33.00,F,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700153,17.40,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700299,19.54,13,33.00,F,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700309,8.50,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700447,27.30,AB,0.00,I,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700478,18.05,24.5,43.00,E,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
201700497,21.20,23,45.00,E,JANUARY_JAN,2018,SUPP,ME1105,2.0,ENGINEERING GRAPHICS _12 13 14 15 16 17_,89.000000,78.000000,67.000000,57.000000,46.000000,35.000000,JANUARY_JAN_2018,0,0,0,0,0
