Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110150,16.55,19.5,37.00,E,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110377,16.55,19.5,37.00,E,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110402,17.60,10,28.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110594,18.40,13.5,32.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20111003,18.20,14,33.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110499,14.45,6.5,21.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120642,20.00,24.25,45.00,D,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120682,14.60,5.5,21.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120700,19.00,23.25,43.00,E,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20130007,24.70,12,37.00,F,JAN,2014,MAKE,COB105_COA205_NEW__COA106_COB106_OLD_,4.0,COMPUTER PROGRAMMING USING C_COMPUTER PROGRAMMING_COMPUTER PROGRAMMING I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
