Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201011075,13.80,AB,0.00,I,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201011094,14.90,AB,0.00,I,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201011116,11.70,1.5,14.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201011124,16.15,2.5,19.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20110514,23.05,AB,0.00,I,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
20120298,26.05,00,27.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
200814015,11.30,18.25,30.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201014032,19.90,AB,0.00,I,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201014077,18.30,10,29.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201014080,17.80,11.5,30.00,F,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
201314502,23.30,AB,0.00,I,JAN,2014,MAKE,CSE305_IT305,4.0,APPLIED ELECTRONICS,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JAN_2014,0,0,0,0,0
