Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200915022,22.00,25,47.00,D,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
200915052,23.60,2.5,27.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
200915059,21.10,03,25.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015005,25.70,34.5,61.00,C,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015007,30.80,29,60.00,C,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015008,21.00,4.5,26.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015026,26.70,24,51.00,D,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015027,22.60,10,33.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015030,25.30,36.5,62.00,C,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015041,20.70,00,21.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015043,26.60,01,28.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015049,18.80,19.5,39.00,E,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015051,27.20,AB,0.00,I,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015059,20.70,AB,0.00,I,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015062,22.20,2.5,25.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015063,19.60,01,21.00,F,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201015065,35.50,17.5,53.00,D,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
201115501,13.80,AB,0.00,I,JAN,2014,MAKE,ME701,4.0,MECHENICAL VIBRATIONS,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2014,0,0,0,0,0
