Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201500143,16.50,00,17.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500144,16.70,08,25.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500163,13.10,0.5,14.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500182,14.70,04,19.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500195,14.20,09,24.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500249,22.60,04,27.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500281,12.20,03,16.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500398,27.75,17.5,46.00,D,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201500455,10.20,02,13.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201615505,9.20,12.5,22.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201615507,8.40,2.5,11.00,F,JAN,2017,SUPP,EE1307,4.0,ELECTRO TECHNOLOGY _REF CODE:ME1388_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
