Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201316019,11.80,AB,0.00,I,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201316025,14.30,13.5,28.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201416007,5.50,AB,0.00,I,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201416009,14.40,AB,0.00,I,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201416017,18.00,18.5,37.00,E,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201516011,19.10,05,25.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201516024,12.40,6.5,19.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201616011,18.00,6.5,25.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201616014,11.60,11,23.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201616022,10.10,17,28.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201616024,16.20,9.5,26.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
201616030,9.90,4,14.00,F,JAN,2017,SUPP,MA1104_MA3101,4.0,MATHEMATICS I _REF CODE:CA1199_,84.000000,74.000000,64.000000,55.000000,45.000000,35.000000,JAN_2017,0,0,0,0,0
