Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120587,6.00,AB,0.00,I,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130070,16.60,AB,0.00,I,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130457,18.70,1,20.00,F,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130473,19.40,28,48.00,D,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130493,12.10,AB,0.00,I,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130507,17.20,3,21.00,F,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140017,14.60,32,47.00,D,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140155,28.20,39.5,68.00,B,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140382,26.30,3,30.00,F,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140606,19.40,25,45.00,D,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140742,18.10,AB,0.00,I,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201415504,17.70,3.5,22.00,F,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
201415509,14.20,31.5,46.00,D,JAN,2017,SUPP,ME1502_ME502_,4.0,HEAT TRANSFER,81.000000,72.000000,63.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
