Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120036,19.19,15,35.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120180,21.03,13.75,35.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120276,12.69,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120302,14.60,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20120729,14.65,12,27.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130025,20.45,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130145,18.58,12.75,32.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130188,22.40,12.75,36.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130192,9.25,6,16.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130287,15.96,27,43.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130291,20.43,14.25,35.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130296,21.35,8.5,30.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130312,12.78,5.25,19.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130410,19.83,16.75,37.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130440,25.15,14.75,40.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130493,12.68,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130501,12.65,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130531,22.13,28,51.00,D,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130575,10.70,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130711,17.45,4,22.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20130736,14.54,5,20.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140023,20.10,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140048,20.50,16,37.00,E,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140063,24.19,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140103,20.20,5.5,26.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140106,21.00,5.75,27.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140114,14.00,15.25,30.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140131,22.70,5,28.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140136,13.70,11.75,26.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140148,15.60,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140159,21.49,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140342,15.15,AB,0.00,I,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
20140386,15.00,11.25,27.00,F,JAN,2017,SUPP,PH1103,4.0,ENGINEERING PHYSICS _REF CODE:COA103_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_2017,0,0,0,0,0
