Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110370,18.20,12,31.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
200911102,19.00,05,24.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201013060,16.80,17.5,35.00,E,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110234,14.10,22.5,37.00,E,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110279,18.00,AB,0.00,I,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110359,18.70,08,27.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110504,24.90,13,38.00,E,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20110612,18.00,2.5,21.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120179,19.44,31.5,51.00,D,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120487,14.79,05,20.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120513,17.53,7.5,26.00,F,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
20120593,25.29,09,35.00,E,JAN_DEC,2012,MAKE,COB104_COA204_NEW__COA104_COB204_OLD_,4.0,ELEMENTS OF ELECTRICAL ENGINEERING,83.000000,73.000000,64.000000,54.000000,45.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
