Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140018,21.40,18.5,40.00,E,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201415507,13.70,15,29.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500141,12.50,1.5,14.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500143,13.70,12.5,27.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500144,14.80,16,31.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500163,10.90,5.5,17.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500182,19.00,09,28.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500195,13.20,15.5,29.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500263,17.80,4.5,23.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500270,16.50,10.5,27.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500281,12.50,05,18.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500376,21.50,15.5,37.00,E,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500455,8.00,AB,0.00,I,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201500486,13.80,15,29.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201615501,14.90,0.5,16.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201615502,13.20,00,14.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
201615504,12.60,03,16.00,F,JAN_DEC,2012,MAKE,MA1305,4.0,ENGINEERING MATHEMATICS III _REF CODE:ME1399_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JAN_DEC_2012,0,0,0,0,0
