Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110141,16.50,27.5,44.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120022,3.60,35.25,39.00,E,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120065,15.35,19.5,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120123,18.90,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120156,9.10,5.5,15.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120232,12.85,17.5,31.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120256,18.00,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120274,13.50,0.5,14.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120326,11.60,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120535,20.30,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120580,16.10,29.5,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120591,9.20,02,12.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130035,15.30,23,39.00,E,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130112,12.00,34.5,47.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130210,37.20,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130282,38.23,29,68.00,B,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130540,18.85,43.5,63.00,B,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130597,43.10,43,87.00,S,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20131002,6.10,15.5,22.00,F,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200918015,26.50,19,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201318515,10.10,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201418502,12.65,32.75,46.00,D,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201418509,13.83,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201418511,9.95,25.5,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,CE1404,4.0,DESIGN OF RC STRUCTURES,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
