Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110155,20.38,27,48.00,D,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110201,10.75,33.5,45.00,E,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20110320,15.50,21.5,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120064,34.35,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120357,12.85,18,31.00,F,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120562,10.80,38.5,50.00,D,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120664,21.63,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120701,16.53,24,41.00,E,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120709,14.25,22.5,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
200811030,18.16,1,20.00,F,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201311504,19.75,27,47.00,D,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
201311509,14.30,22,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,CSE603,4.0,COMPUTER NETWORK,87.000000,77.000000,67.000000,57.000000,47.000000,37.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
