Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110018,6.20,29,36.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120212,12.70,13.5,27.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120250,17.50,17,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120261,13.80,28,42.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120263,13.60,20.5,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120321,15.50,35.5,51.00,D,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120349,12.80,11,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120369,10.90,2,13.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120371,10.60,28.5,40.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120412,14.00,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120417,16.00,7.5,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120460,16.80,17.5,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1302,4.0,ENGINEERING MATHEMATICS III _CSE_IT__12_13_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
