Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20110304,28.00,13,41.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120026,17.10,14.5,32.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120028,14.80,9,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120105,16.30,20,37.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120138,12.70,5.5,19.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120161,17.20,10,28.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120178,8.20,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120179,14.70,14.5,30.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120233,13.10,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120236,12.00,29,41.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120396,11.10,16.2,28.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120406,16.10,23.5,40.00,E,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120541,16.40,5.5,22.00,F,JULY_AUGUST_AUG,2015,EXTRA,MA1402_EC401__12_13__EC401_8_11_,4.0,ENGINEERING MATHEMATICS IV,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
