Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120094,18.80,8,27.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120233,8.48,8.75,18.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120243,20.78,13.25,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120283,17.23,17.00,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120317,19.80,1.5,22.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120462,13.78,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120539,20.48,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20120577,15.90,29,45.00,D,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130004,14.54,0,15.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130028,11.70,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130076,11.80,16.5,29.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130124,12.75,7.25,20.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130148,15.94,7.5,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130191,17.58,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130287,15.90,15.5,32.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130291,20.43,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130296,21.35,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130310,14.53,13.75,29.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130312,12.78,11,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130335,16.00,7.75,24.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130362,18.30,16.25,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130428,16.85,9.25,27.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130431,11.20,3.5,15.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130437,14.65,AB,0.00,I,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130456,17.55,17,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130457,20.78,9.25,31.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130492,17.01,17,35.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130498,20.45,5,26.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130505,18.00,19.75,38.00,E,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
20130513,19.89,0,20.00,F,JULY_AUGUST_AUG,2015,EXTRA,PH1103,4.0,ENGINEERING PHYSICS _12_14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUGUST_AUG_2015,0,0,0,0,0
