Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130090,5.42,AB,0.00,I,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130118,13.43,24.5,38.00,E,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130121,9.35,19.5,29.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130229,10.12,32,43.00,E,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130287,9.40,21.5,31.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130296,10.20,18.5,29.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130310,16.80,AB,0.00,I,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130352,13.70,34.5,49.00,D,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130478,13.80,AB,0.00,I,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130556,13.60,23,37.00,E,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130649,14.90,1.5,17.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130718,17.10,27.5,45.00,D,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140139,8.00,27.5,36.00,E,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140448,13.40,17,31.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140556,12.60,21.5,35.00,E,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140577,16.20,14.5,31.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140599,13.10,15,29.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201511512,15.20,5,21.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120357,8.80,AB,0.00,I,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140586,4.00,23,27.00,F,JULY_AUG,2016,EXTRA,CS1305,4.0,PC HARDWARE & PERIPHERALS _11 12 13 14_,82.000000,73.000000,63.000000,54.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
