Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120054,13.40,16,30.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120178,7.20,3,11.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120360,13.60,15.5,30.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120553,23.50,AB,0.00,I,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130010,9.80,3,13.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130031,10.20,AB,0.00,I,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130064,25.20,20,46.00,D,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130071,22.20,7,30.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130219,12.90,25.5,39.00,E,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130378,13.50,25.5,39.00,E,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130397,15.50,AB,0.00,I,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130486,16.70,20,37.00,E,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130504,17.70,16,34.00,F,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130524,11.30,26.5,38.00,E,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130544,11.40,AB,0.00,I,JULY_AUG,2016,EXTRA,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
