Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120032,15.30,20.5,36.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120115,15.40,20,36.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120136,15.40,AB,0.00,I,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120159,18.30,AB,0.00,I,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120184,18.70,33,52.00,D,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20120727,14.50,20.5,35.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130065,15.00,32.5,48.00,D,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130070,10.30,24,35.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130144,21.70,20.5,43.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130267,13.40,32.5,46.00,D,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130277,24.60,18.5,44.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130312,8.00,20,28.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130410,13.10,5.5,19.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130436,9.50,22.5,32.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130493,13.30,31,45.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130529,12.70,17,30.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130736,15.90,22.5,39.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20130755,11.60,AB,0.00,I,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140130,12.00,8,20.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140370,25.90,38.5,65.00,C,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140405,18.10,31,50.00,D,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140418,7.00,AB,0.00,I,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140538,10.00,14,24.00,F,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
20140592,18.20,21.5,40.00,E,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
201415504,17.70,29,47.00,D,JULY_AUG,2016,EXTRA,ME1404,4.0,MACHINE DESIGN I _7 8 9 10 11 12 13 14_,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,JULY_AUG_2016,0,0,0,0,0
