Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120056,4.50,21.5,26.00,F,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130025,12.65,17,30.00,F,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130070,12.35,22,35.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130144,7.35,31,39.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130410,12.60,22,35.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130493,14.40,16.5,31.00,F,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130507,22.15,AB,0.00,I,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130736,12.40,22,35.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140059,11.00,29,40.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140130,14.45,AB,0.00,I,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140147,31.80,37.5,70.00,B,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140433,23.15,23.5,47.00,D,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140476,13.60,AB,0.00,I,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140543,15.45,19.5,35.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140603,12.85,24,37.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140606,16.60,18,35.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140608,16.55,20.5,38.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140694,28.10,22,51.00,D,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201515504,17.80,22,40.00,E,JUNE_JULY,2017,SUPP,BA1511,4.0,ENGINEERING ECONOMICS & ACCOUNTANCY _9 10 11 12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
