Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120283,12.10,11.5,24.00,F,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130003,14.90,8.5,24.00,F,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130289,9.00,29.5,39.00,E,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130366,7.00,AB,0.00,I,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20130627,12.70,16.5,30.00,F,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140082,41.30,AB,0.00,I,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140183,10.60,5,16.00,F,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
20140597,21.30,16.5,38.00,E,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500030,19.80,23,43.00,E,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500096,14.40,AB,0.00,I,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
201500248,13.40,9.5,23.00,F,JUNE_JULY,2017,SUPP,EE1403,4.0,ELECTRICAL MACHINES II _9 10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2017,0,0,0,0,0
