Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120181,6.00,2.75,9.00,F,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130035,9.45,2,12.00,F,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20131002,13.60,2.5,17.00,F,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140369,8.00,AB,0.00,I,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140419,15.20,AB,0.00,I,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140665,11.95,AB,0.00,I,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500121,4.60,AB,0.00,I,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500225,29.20,12.5,42.00,E,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201618507,12.85,AB,0.00,I,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201618534,12.10,9,22.00,F,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201618535,17.55,19.25,37.00,E,JUNE_JULY,2018,SUPP,CE1601,4.0,GEOTECHNICAL ENGINEERING II _10 11 12 13 14 15_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
