Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120243,10.20,12.5,23.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130144,12.60,16.5,30.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130457,18.50,8,27.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130070,12.00,1,13.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140433,13.50,23,37.00,E,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140742,12.70,12.5,26.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140465,22.70,25,48.00,D,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140565,7.20,AB,0.00,I,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500071,12.60,4,17.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500108,15.00,9,24.00,F,JUNE_JULY,2018,SUPP,ME1407_ME1402_ME402_,4.0,THERMAL ENGINEERING I_APPLIED THERMODYNAMICS I,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
