Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140055,21.30,18.5,40.00,E,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201315502,6.90,AB,0.00,I,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140018,11.30,AB,0.00,I,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500071,19.90,AB,0.00,I,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500141,13.20,12.5,26.00,F,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500144,21.65,17.5,40.00,E,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500249,19.40,0,20.00,F,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500443,15.60,22.5,39.00,E,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201500704,22.90,15,38.00,E,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201615502,19.00,3,22.00,F,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
201615507,11.20,0,12.00,F,JUNE_JULY,2018,SUPP,ME1609_ME1504,4.0,THEORY OF MACHINES II,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
