Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130493,12.68,25.5,39.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130396,10.73,26.5,38.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130564,19.75,26.75,47.00,D,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130716,17.85,20,38.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20131002,14.43,21,36.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130177,16.75,8,25.00,F,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140198,13.80,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130076,11.80,27.5,40.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130437,16.20,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130575,10.70,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20130609,18.88,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140023,20.10,18.5,39.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140036,17.55,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140063,24.19,13.5,38.00,E,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140106,21.00,11,32.00,F,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140129,15.30,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
20140158,11.70,AB,0.00,I,JUNE_JULY,2018,SUPP,PH1103,3.0,ENGINEERING PHYSICS _PH1103_,85.000000,75.000000,65.000000,55.000000,45.000000,35.000000,JUNE_JULY_2018,0,0,0,0,0
