Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200813006,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
200813025,0.00,DT,0.00,DT,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
200913053,28.80,21.5,51.00,D,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
200913057,23.00,18.75,42.00,E,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
200913069,23.20,31,55.00,D,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
201013007,26.70,20.75,48.00,D,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
201013080,14.90,21.25,37.00,E,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
201013035,22.65,28.5,52.00,D,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
201013048,25.70,19,45.00,D,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
201013085,26.55,30.5,58.00,C,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110010,23.15,20,44.00,E,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110046,29.80,35.5,66.00,B,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110085,7.00,AB,0.00,I,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110101,28.50,31.5,60.00,C,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110104,34.05,38.5,73.00,B,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110117,35.75,33,69.00,B,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110149,33.35,35.75,70.00,B,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110160,35.60,44,80.00,A,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110167,23.95,37,61.00,C,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
20110170,34.15,33.75,68.00,B,MAY_JUNE,2014,NORMAL,EE602,4.0,ADVANCED CONTROL THEORY,87.000000,77.000000,66.000000,56.000000,45.000000,35.000000,MAY_JUNE_2014,1,1,4,0,97
