Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201419001,17.91,AB,0.00,I,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419003,31.22,38.5,70.00,B,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419004,16.61,8.5,26.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419005,24.01,30.5,55.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419006,40.92,29.5,71.00,A,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419007,21.11,23.5,45.00,D,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419008,17.91,17.5,36.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419009,22.51,38,61.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419010,31.12,38,70.00,B,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419011,14.41,00,15.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419012,27.91,18.5,47.00,D,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419013,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419014,20.31,1,22.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419015,20.91,18,39.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419016,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419017,15.31,8.5,24.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419018,18.21,19.5,38.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419019,17.11,2,20.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419020,34.52,34.5,70.00,B,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419021,12.41,1.5,14.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419022,16.91,7,24.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419023,24.61,7.5,33.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419024,34.22,25.5,60.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419025,30.52,29.5,61.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419026,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419027,18.61,5,24.00,F,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419028,25.62,16.5,43.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419029,33.02,40.5,74.00,A,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419030,17.71,23,41.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419031,29.32,15,45.00,D,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419032,30.32,21.5,52.00,D,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419033,24.01,17,42.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419034,30.32,28,59.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419035,35.22,28.5,64.00,B,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201419036,26.01,27.5,54.00,C,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
20122406,15.21,21.5,37.00,E,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
20122453,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
201319028,0.00,DT,0.00,DT,MAY_JUNE,2015,NORMAL,BA1204,4.0,BUSINESS FINANCE,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,1,0,5,0,32
