Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201013048,9.10,03,13.00,F,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
201012101,15.70,23.5,40.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
200928013,16.90,14,31.00,F,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20110175,21.20,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20110392,14.10,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120118,16.25,21.5,38.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120337,15.10,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130017,24.10,13.5,38.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130436,19.95,19,39.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130437,12.10,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120036,17.10,17,35.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120276,11.50,3.5,15.00,F,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120295,19.20,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120452,19.70,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20120666,19.80,27.5,48.00,D,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130431,16.90,11.5,29.00,F,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130441,21.75,16.5,39.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130575,17.20,AB,0.00,I,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
20130683,17.70,16.5,35.00,E,MAY_JUNE,2015,BACK,COB204_COA104,4.0,ELEMENTS OF MECHANICAL ENGINEERING _ME1104_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2015,0,0,0,0,0
