Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120036,47.00,33,80.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130017,43.00,33,76.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130018,48.00,34,82.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130021,43.00,32,75.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130022,41.00,30,71.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130030,42.00,43,85.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130055,50.00,25,75.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130063,40.00,30,70.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130068,47.00,43,90.00,S,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130073,48.00,33,81.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130077,48.00,30,78.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130123,48.00,42,90.00,S,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130126,44.00,40,84.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130128,43.00,25,68.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130152,44.00,25,69.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130174,42.00,28,70.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130181,44.00,28,72.00,C,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130189,48.00,28,76.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130209,43.00,41,84.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130210,42.00,44,86.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130234,47.00,46,93.00,S,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130241,48.00,35,83.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130251,49.00,30,79.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130282,40.00,34,74.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130313,45.00,40,85.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130324,47.00,27,74.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130348,45.00,32,77.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130360,43.00,39,82.00,A,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
20130369,46.00,35,81.00,B,MAY_JUNE,2017,NORMAL,CE1875,16.0,MAJOR PROJECT,90.000000,82.000000,74.000000,66.000000,58.000000,50.000000,MAY_JUNE_2017,1,0,0,0,74
