Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120054,13.40,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20120553,23.50,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130010,9.80,0.5,11.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130504,17.70,10,28.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20120192,14.00,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130625,11.50,1,13.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130638,20.50,6.5,27.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140048,16.20,6.5,23.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140108,15.10,7.5,23.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140189,13.90,7.5,22.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140504,12.40,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140558,14.90,5.5,21.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140581,15.30,6,22.00,F,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140587,18.00,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201512502,17.40,17,35.00,E,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201512503,21.10,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
201512505,12.50,AB,0.00,I,MAY_JUNE,2017,BACK,MA1402,4.0,ENGINEERING MATHEMATICS IV _12 13 14_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
