Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20120276,12.69,22,35.00,E,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130003,9.10,15.5,25.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130025,20.45,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130145,18.58,19.25,38.00,E,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130312,12.78,12.75,26.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130364,11.65,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130441,18.99,15.75,35.00,E,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130493,12.68,10,23.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130501,12.65,14.25,27.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130575,10.70,12.5,24.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130716,17.85,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20130736,14.54,17.25,32.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140008,14.55,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140036,17.55,2,20.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140114,14.00,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140129,15.30,AB,0.00,I,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140159,21.49,9.5,31.00,F,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
20140463,17.50,27.5,45.00,D,MAY_JUNE,2017,BACK,PH1103,4.0,ENGINEERING PHYSICS _12 13 14 15 16_,83.000000,74.000000,64.000000,55.000000,45.000000,35.000000,MAY_JUNE_2017,0,0,0,0,0
