Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
200928002,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
200928007,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
200928028,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
200928031,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
200928035,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028001,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028006,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028007,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028008,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028009,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028010,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028011,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028013,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028015,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028019,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028020,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028021,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028022,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028024,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028028,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028031,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028035,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201028036,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201128501,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
201128502,-,-,-,P,NOV-DEC,2013,NORMAL,IE711,NIL,INDUSTRIAL TRAINING_SEMINAR,0,0,0,0,0,0,NOV-DEC-2013,0,0,0,0,25
