Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20130305,16.30,AB,0.00,I,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
20140398,15.50,AB,0.00,I,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201500283,14.30,22,37.00,E,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600013,12.50,29,42.00,E,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600106,17.00,4.5,22.00,F,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600154,16.80,12.5,30.00,F,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600254,7.20,AB,0.00,I,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600428,15.90,16,32.00,F,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201600660,13.90,15,29.00,F,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700177,4.00,AB,0.00,I,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700270,14.45,AB,0.00,I,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700271,13.20,31,45.00,D,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700290,14.45,21,36.00,E,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
201700490,15.40,25.5,41.00,E,NOV-DEC,2018,BACK,CE1102,3.0,MECHANICS OF SOLIDS _11 12 13 14 15 16__4CR UPTO 16  3CR FOR 17_,80.000000,71.000000,62.000000,53.000000,44.000000,35.000000,NOV-DEC-2018,0,0,0,0,0
