Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
20140254,13.95,31.5,46.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
20140542,27.05,24.5,52.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201500129,30.10,25.5,56.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201500387,11.10,23.5,35.00,E,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201500295,28.45,17.5,46.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201500450,18.05,16.5,35.00,E,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600034,30.35,31,62.00,C,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600035,43.80,43.5,88.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600036,47.00,50,97.00,S,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600042,35.50,38.25,74.00,B,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600068,33.40,38.5,72.00,B,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600094,43.80,42,86.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600120,43.10,46.5,90.00,S,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600142,45.30,48.5,94.00,S,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600178,31.00,31.5,63.00,C,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600180,30.90,24.5,56.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600186,48.50,46.5,95.00,S,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600191,34.60,AB,0.00,I,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600193,44.30,44.5,89.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600197,28.70,32.25,61.00,C,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600218,43.50,45,89.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600224,35.15,43,79.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600230,36.20,44,81.00,A,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600242,26.95,19.5,47.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600251,39.20,34.25,74.00,B,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
201600256,27.45,23,51.00,D,NOV-DEC,2018,NORMAL,CE1503,4.0,IRRIGATION ENGINEERING,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,3,0,0,0,72
