Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201821301,24.20,27.25,52.00,D,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821302,28.80,39.5,69.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821303,38.85,30,69.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821304,37.55,41.5,80.00,A,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821305,36.45,43.5,80.00,A,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821306,33.10,30.25,64.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821307,29.10,30,60.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821309,37.90,42,80.00,A,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821310,35.40,36,72.00,B,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821311,31.05,AB,0.00,I,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821312,41.80,42.75,85.00,A,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821313,34.90,31.5,67.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821314,43.75,46.25,90.00,S,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821315,38.30,36.25,75.00,B,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821316,37.25,36.75,74.00,B,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821318,37.00,36.5,74.00,B,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821319,27.45,30,58.00,D,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821320,31.70,33.25,65.00,C,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821321,19.25,AB,0.00,I,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821322,27.65,28.75,57.00,D,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
201821323,44.20,45.75,90.00,S,NOV-DEC,2018,NORMAL,CH2102,4.0,PRINCIPLES OF ORGANIC CHEMISTRY,89,80,70,60,50,40,NOV-DEC-2018,0,0,0,0,0
