Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201613504,8.80,7,16.00,F,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201500770,30.70,29,60.00,C,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600053,18.10,11.5,30.00,F,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600065,32.25,34.5,67.00,C,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600097,46.70,47,94.00,S,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600124,24.80,15.5,41.00,E,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600127,32.90,19.5,53.00,D,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600131,28.80,28.5,58.00,C,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600133,45.20,45.5,91.00,S,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
201600152,34.70,43,78.00,B,NOV-DEC,2018,NORMAL,EE1507,4.0,PRINCIPLES OF COMMUNICATION,90.000000,79.000000,68.000000,57.000000,46.000000,35.000000,NOV-DEC-2018,1,0,0,0,34
