Reg_No,Internal,External,Total,Grade,Time,Year,Type,Code,Credit,Title,Cut-Off-S,Cut-Off-A,Cut-Off-B,Cut-Off-C,Cut-Off-D,Cut-Off-E,Directory,Absentees,Malpractices,Detentions,NA,appeared
201600031,36.60,19.5,57.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201600158,29.40,16.5,46.00,E,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201600233,32.75,34,67.00,C,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201600254,31.20,16.5,48.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201600477,25.10,20.5,46.00,E,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201600700,22.75,23,46.00,E,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700095,25.60,27,53.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700114,34.80,36.5,72.00,B,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700133,21.15,24,46.00,E,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700154,42.20,30.5,73.00,B,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700163,30.50,32.5,63.00,C,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700176,38.25,48.5,87.00,A,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700177,33.55,16,50.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700202,40.00,29,69.00,B,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700212,43.00,48.5,92.00,S,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700216,32.40,33.5,66.00,C,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700221,33.75,18,52.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700230,30.70,23,54.00,D,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700234,42.45,38,81.00,A,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
201700235,38.60,36.5,76.00,B,NOV-DEC,2018,NORMAL,IT1302,3.0,DATA STRUCTURES,89.000000,79.000000,69.000000,58.000000,48.000000,38.000000,NOV-DEC-2018,0,0,0,0,37
